Fluor,Sample,Cq,SQ,Target
HEX,STD_1,20.44,30,An. stephensi
HEX,STD_1,20.33,30,An. stephensi
HEX,STD_1,20.61,30,An. stephensi
HEX,STD_2,22.2,6,An. stephensi
HEX,STD_2,22.7,6,An. stephensi
HEX,STD_2,22.53,6,An. stephensi
HEX,STD_3,24.96,1.2,An. stephensi
HEX,STD_3,25.02,1.2,An. stephensi
HEX,STD_3,24.84,1.2,An. stephensi
HEX,STD_4,27.26,0.24,An. stephensi
HEX,STD_4,26.98,0.24,An. stephensi
HEX,STD_4,26.99,0.24,An. stephensi
HEX,STD_5,30.06,0.048,An. stephensi
HEX,STD_5,30.17,0.048,An. stephensi
HEX,STD_5,29.96,0.048,An. stephensi
HEX,STD_6,33.62,0.0096,An. stephensi
HEX,STD_6,32.19,0.0096,An. stephensi
HEX,STD_6,33.36,0.0096,An. stephensi
HEX,STD_7,35.48,0.00192,An. stephensi
HEX,STD_7,35.6,0.00192,An. stephensi
HEX,STD_7,34.54,0.00192,An. stephensi
HEX,STD_8,36.67,0.000384,An. stephensi
HEX,STD_8,37.91,0.000384,An. stephensi
HEX,STD_8,37.86,0.000384,An. stephensi
HEX,STD_9,39.38,0.0000768,An. stephensi
HEX,STD_9,39.7,0.0000768,An. stephensi
HEX,STD_9,39.96,0.0000768,An. stephensi
HEX,STD_10,No Ct,1.54E-05,An. stephensi
HEX,STD_10,No Ct,1.54E-05,An. stephensi
HEX,STD_10,No Ct,1.54E-05,An. stephensi
FAM,STD_1,22.53,30,Ae. aegypti
FAM,STD_1,22.63,30,Ae. aegypti
FAM,STD_1,22.62,30,Ae. aegypti
FAM,STD_2,24.83,6,Ae. aegypti
FAM,STD_2,24.64,6,Ae. aegypti
FAM,STD_2,24.8,6,Ae. aegypti
FAM,STD_3,27.22,1.2,Ae. aegypti
FAM,STD_3,27.15,1.2,Ae. aegypti
FAM,STD_3,27.43,1.2,Ae. aegypti
FAM,STD_4,29.84,0.24,Ae. aegypti
FAM,STD_4,29.57,0.24,Ae. aegypti
FAM,STD_4,29.58,0.24,Ae. aegypti
FAM,STD_5,31.72,0.048,Ae. aegypti
FAM,STD_5,31.6,0.048,Ae. aegypti
FAM,STD_5,31.56,0.048,Ae. aegypti
FAM,STD_6,35,0.0096,Ae. aegypti
FAM,STD_6,34.99,0.0096,Ae. aegypti
FAM,STD_6,34.65,0.0096,Ae. aegypti
FAM,STD_7,36.65,0.00192,Ae. aegypti
FAM,STD_7,36.43,0.00192,Ae. aegypti
FAM,STD_7,36.33,0.00192,Ae. aegypti
FAM,STD_8,39.38,0.000384,Ae. aegypti
FAM,STD_8,39.7,0.000384,Ae. aegypti
FAM,STD_8,39.96,0.000384,Ae. aegypti
FAM,STD_9,No Ct,0.0000768,Ae. aegypti
FAM,STD_9,No Ct,0.0000768,Ae. aegypti
FAM,STD_9,No Ct,0.0000768,Ae. aegypti
FAM,STD_10,No Ct,1.54E-05,Ae. aegypti
FAM,STD_10,No Ct,1.54E-05,Ae. aegypti
FAM,STD_10,No Ct,1.54E-05,Ae. aegypti
HEX (STH),STD_1,21.91,30,An. stephensi
FAM (AE),,22.2,30,Ae. aegypti
HEX (STH),STD_1,21.68,30,An. stephensi
FAM (AE),,21.95,30,Ae. aegypti
HEX (STH),STD_1,22.23,30,An. stephensi
FAM (AE),,21.54,30,Ae. aegypti
HEX (STH),STD_2,23.67,6,An. stephensi
FAM (AE),,24.26,6,Ae. aegypti
HEX (STH),STD_2,23.87,6,An. stephensi
FAM (AE),,24.17,6,Ae. aegypti
HEX (STH),STD_2,24.09,6,An. stephensi
FAM (AE),,24.45,6,Ae. aegypti
HEX (STH),STD_3,26.56,1.2,An. stephensi
FAM (AE),,26.87,1.2,Ae. aegypti
HEX (STH),STD_3,26.2,1.2,An. stephensi
FAM (AE),,26.94,1.2,Ae. aegypti
HEX (STH),STD_3,26.55,1.2,An. stephensi
FAM (AE),,26.98,1.2,Ae. aegypti
HEX (STH),STD_4,29.05,0.24,An. stephensi
FAM (AE),,28.9,0.24,Ae. aegypti
HEX (STH),STD_4,28.81,0.24,An. stephensi
FAM (AE),,29.31,0.24,Ae. aegypti
HEX (STH),STD_4,28.57,0.24,An. stephensi
FAM (AE),,29.01,0.24,Ae. aegypti
HEX (STH),STD_5,31.53,0.048,An. stephensi
FAM (AE),,31.51,0.048,Ae. aegypti
HEX (STH),STD_5,31.15,0.048,An. stephensi
FAM (AE),,31.11,0.048,Ae. aegypti
HEX (STH),STD_5,31.12,0.048,An. stephensi
FAM (AE),,31,0.048,Ae. aegypti
HEX (STH),STD_6,33.88,0.0096,An. stephensi
FAM (AE),,33.51,0.0096,Ae. aegypti
HEX (STH),STD_6,33.95,0.0096,An. stephensi
FAM (AE),,33.63,0.0096,Ae. aegypti
HEX (STH),STD_6,33.78,0.0096,An. stephensi
FAM (AE),,33.02,0.0096,Ae. aegypti
HEX (STH),STD_7,35.06,0.00192,An. stephensi
FAM (AE),,35.8,0.00192,Ae. aegypti
HEX (STH),STD_7,35.01,0.00192,An. stephensi
FAM (AE),,35.86,0.00192,Ae. aegypti
HEX (STH),STD_7,35.99,0.00192,An. stephensi
FAM (AE),,35.76,0.00192,Ae. aegypti
HEX (STH),STD_8,  No Ct ,0.000384,An. stephensi
FAM (AE),,37.02,0.000384,Ae. aegypti
HEX (STH),STD_8,  No Ct ,0.000384,An. stephensi
FAM (AE),,37.75,0.000384,Ae. aegypti
HEX (STH),STD_8,37.5,0.000384,An. stephensi
FAM (AE),,37.5,0.000384,Ae. aegypti
HEX (STH),STD_9,39.49,0.0000768,An. stephensi
FAM (AE),,39.4,0.0000768,Ae. aegypti
HEX (STH),STD_9,  No Ct ,0.0000768,An. stephensi
FAM (AE),,39.8,0.0000768,Ae. aegypti
HEX (STH),STD_9,  No Ct ,0.0000768,An. stephensi
FAM (AE),,  No Ct ,0.0000768,Ae. aegypti
HEX (STH),STD_10,  No Ct ,1.54E-05,An. stephensi
FAM (AE),,  No Ct ,1.54E-05,Ae. aegypti
HEX (STH),STD_10,  No Ct ,1.54E-05,An. stephensi
FAM (AE),,  No Ct ,1.54E-05,Ae. aegypti
HEX (STH),STD_10,  No Ct ,1.54E-05,An. stephensi
FAM (AE),,  No Ct ,1.54E-05,Ae. aegypti
,,,,
,,,,
